epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.425,1.64743,2.29804,1.82741,0.29384,0.31217,0.21393,0.07192,2.16791,2.7571,2.49853,0.000664564,0.000664564,0.000664564
2,174.207,1.85577,2.2958,2.04642,0.40978,0.39429,0.35299,0.13167,2.12688,2.16303,2.4268,0.00130487,0.00130487,0.00130487
3,253.908,1.85046,2.20912,2.0156,0.39861,0.41992,0.35842,0.12801,2.04515,2.40795,2.37137,0.00191878,0.00191878,0.00191878
4,331.935,1.80599,2.16105,2.00243,0.47803,0.45195,0.41021,0.15408,1.96654,2.10371,2.30808,0.0018812,0.0018812,0.0018812
5,411.111,1.77938,2.11527,1.98184,0.46582,0.47758,0.44501,0.17895,1.92859,2.02945,2.23658,0.0018416,0.0018416,0.0018416
6,491.868,1.72352,2.02708,1.93316,0.50725,0.49702,0.48969,0.19515,1.90412,1.89371,2.23732,0.001802,0.001802,0.001802
7,570.641,1.70729,1.97046,1.92048,0.56128,0.51252,0.51862,0.21606,1.90467,1.84016,2.19333,0.0017624,0.0017624,0.0017624
8,649.898,1.68637,1.92024,1.8864,0.56454,0.50553,0.52924,0.22358,1.90064,1.75248,2.17519,0.0017228,0.0017228,0.0017228
9,730.08,1.6499,1.86261,1.8567,0.61045,0.55853,0.60001,0.26026,1.80261,1.72667,2.08864,0.0016832,0.0016832,0.0016832
10,808.048,1.64575,1.83162,1.84708,0.63734,0.54862,0.60776,0.28857,1.70198,1.72501,2.04241,0.0016436,0.0016436,0.0016436
11,888.25,1.62306,1.7945,1.82972,0.61787,0.56727,0.60351,0.26859,1.82689,1.59788,2.07785,0.001604,0.001604,0.001604
12,967.071,1.62849,1.77974,1.83363,0.69746,0.58358,0.66583,0.31626,1.73167,1.48901,2.02724,0.0015644,0.0015644,0.0015644
13,1047.04,1.57891,1.73688,1.80677,0.66362,0.57426,0.6361,0.30137,1.69291,1.55309,2.00166,0.0015248,0.0015248,0.0015248
14,1126.5,1.59626,1.73097,1.80372,0.71079,0.59755,0.68992,0.34162,1.63443,1.43124,1.9345,0.0014852,0.0014852,0.0014852
15,1205.27,1.58236,1.70182,1.7951,0.68316,0.58532,0.64632,0.32153,1.6927,1.46859,2.00965,0.0014456,0.0014456,0.0014456
16,1285.18,1.56308,1.67002,1.77353,0.68748,0.60745,0.67973,0.33896,1.64436,1.42072,1.94045,0.001406,0.001406,0.001406
17,1363.98,1.57176,1.64864,1.77623,0.71158,0.63308,0.7111,0.35797,1.63341,1.38106,1.92478,0.0013664,0.0013664,0.0013664
18,1440.9,1.53611,1.61065,1.76242,0.73746,0.60695,0.69895,0.34977,1.60406,1.44462,1.91708,0.0013268,0.0013268,0.0013268
19,1517.94,1.53705,1.60177,1.74686,0.68914,0.62491,0.68814,0.33048,1.67266,1.43196,1.97029,0.0012872,0.0012872,0.0012872
20,1596.2,1.52745,1.56754,1.73783,0.69143,0.64764,0.69581,0.34887,1.66773,1.35909,1.96739,0.0012476,0.0012476,0.0012476
21,1675.57,1.5125,1.54928,1.72136,0.7367,0.65114,0.73012,0.38465,1.57753,1.2841,1.86795,0.001208,0.001208,0.001208
22,1752.65,1.51089,1.54632,1.72656,0.69483,0.65905,0.71546,0.3658,1.58528,1.31746,1.86931,0.0011684,0.0011684,0.0011684
23,1830.07,1.49049,1.52128,1.71074,0.7261,0.64939,0.70913,0.36868,1.58122,1.33732,1.89843,0.0011288,0.0011288,0.0011288
24,1907.6,1.48251,1.52216,1.71823,0.77405,0.64044,0.73784,0.38616,1.596,1.24625,1.90117,0.0010892,0.0010892,0.0010892
25,1986.21,1.48656,1.51484,1.70831,0.71284,0.66511,0.73353,0.37592,1.56565,1.29904,1.85183,0.0010496,0.0010496,0.0010496
26,2063.26,1.46275,1.46326,1.69049,0.76019,0.66395,0.74803,0.39677,1.54942,1.23905,1.85502,0.00101,0.00101,0.00101
27,2140.45,1.47757,1.4667,1.70886,0.71804,0.67385,0.73755,0.39114,1.58746,1.22204,1.89935,0.0009704,0.0009704,0.0009704
28,2217.29,1.45217,1.42734,1.67771,0.77395,0.66803,0.75661,0.40473,1.56205,1.17603,1.85823,0.0009308,0.0009308,0.0009308
29,2294.29,1.45897,1.42819,1.67377,0.76518,0.68666,0.77053,0.41038,1.55425,1.16121,1.82782,0.0008912,0.0008912,0.0008912
30,2371.38,1.44165,1.42046,1.67262,0.75102,0.70271,0.76653,0.40883,1.55659,1.16892,1.85987,0.0008516,0.0008516,0.0008516
31,2451.55,1.43828,1.40009,1.66458,0.75773,0.68855,0.77458,0.41878,1.54119,1.16019,1.82214,0.000812,0.000812,0.000812
32,2529.42,1.42744,1.38506,1.66248,0.7917,0.68841,0.78271,0.42266,1.53331,1.1149,1.82236,0.0007724,0.0007724,0.0007724
33,2606.57,1.43262,1.37989,1.65239,0.7832,0.68433,0.77704,0.42654,1.52458,1.11921,1.81152,0.0007328,0.0007328,0.0007328
34,2689.76,1.41034,1.34004,1.63988,0.79845,0.70355,0.7925,0.43247,1.5398,1.09345,1.82564,0.0006932,0.0006932,0.0006932
35,2768.94,1.412,1.35047,1.63748,0.78256,0.69382,0.78013,0.42058,1.53113,1.12276,1.79915,0.0006536,0.0006536,0.0006536
36,2848.47,1.40096,1.34208,1.63103,0.76647,0.71054,0.79043,0.43126,1.52099,1.08607,1.81118,0.000614,0.000614,0.000614
37,2927.7,1.40285,1.30796,1.63125,0.80337,0.70197,0.79615,0.43854,1.51861,1.06652,1.80628,0.0005744,0.0005744,0.0005744
38,3005.49,1.37941,1.29795,1.61526,0.79804,0.71343,0.79989,0.43807,1.53173,1.05851,1.81416,0.0005348,0.0005348,0.0005348
39,3081.52,1.37905,1.26668,1.61022,0.78879,0.73737,0.81034,0.44478,1.50241,1.03956,1.77956,0.0004952,0.0004952,0.0004952
40,3158,1.37902,1.25288,1.6098,0.82686,0.71761,0.81115,0.44881,1.50699,1.01419,1.79289,0.0004556,0.0004556,0.0004556
